1294639	勇敢的心 Braveheart	1995	梅尔·吉布森	兰道尔·华莱士	梅尔·吉布森 / 苏菲·玛索 / 布莱恩·考克斯 / 詹姆斯·卡沙莫 / 辛·劳洛 / 凯瑟琳·麦克马克 / 安古斯·麦克菲登更多...	剧情 / 动作 / 传记 / 历史 / 战争	美国	英语 / 法语 / 拉丁语 / 苏格兰盖尔语	177	1995-05-24	316611	8.8	威廉•华莱士童年时，其父、苏格兰民族英雄马索•华莱士在与英军的斗争中牺牲，他开始接受父亲好友的指导，学习苏格兰文化和武术。青年华莱士（梅尔•吉布森）学成回到故乡，向美丽的少女梅伦求婚，不想梅伦被英军抢去且遭杀害。在广大村民“英雄之后”的呼声中，华莱士率众揭竿起义，并与苏格兰贵族罗伯结成联盟，但不久他发现，苏格兰贵族考虑的只是自身的利益。　　英王为缓和局势，派伊莎贝拉（苏菲•玛索）前去和华莱士谈判，由于英王只想收买华莱士，根本不顾苏格兰人民的自由和平等，谈判失败，但这一切并不为伊莎贝拉所知。伊莎贝拉归国后发现事情真相，且知晓英王正策划阴招，忙送信给华莱士，而两人的爱情，也在战争与阴谋中悄然滋生。
5308265	西游降魔篇	2013	周星驰 / 郭子健	周星驰 / 郭子健 / 霍昕 / 王芸 / 冯志强 / 卢正雨 / 李尚正 / 江玉仪	文章 / 舒淇 / 黄渤 / 罗志祥 / 李尚正 / 陈炳强 / 赵志凌 / 周秀娜 / 杨迪 / 释彦能 / 冯勉恒 / 谢晶晶 / 何文辉 / 唐艺昕 / 卢正雨 / 张煜雯 / 葛行于 / 张超理 / 程思寒更多...	喜剧 / 奇幻 / 冒险	中国大陆 / 香港	汉语普通话 / 粤语	110	2013-02-10(中国大陆) / 2013-02-07(香港/台湾)	371430	7.1	大唐年间妖魔横行，一小渔村因为饱受鱼妖之害请来道士（冯勉恒饰）除妖，年轻驱魔人陈玄奘（文章饰）前来帮忙却被误认为骗子，幸亏职业赏金驱魔人段小姐（舒淇饰）帮助玄奘制服了鱼妖真身（李尚正饰）。二人又在高家庄为制服猪妖猪刚鬣（陈炳强饰）而再次相遇，这次除妖没有成功，但是段小姐却对玄奘二见钟情。玄奘求助师父，得知除妖的办法是去找被压在五指山下的孙悟空（黄渤饰）帮忙，于是他准备前往五指山，途中又遇到段小姐和手下五煞，段小姐连蒙带哄想与玄奘在一起却屡次遭拒，在四妹（周秀娜饰）调教下想变得更有女人味却适得其反。二人决裂后玄奘独自上路，与此同时降魔师（释延能饰）、天残脚（张超理饰）、空虚公子（罗志祥饰）也一同前往除妖。经过千辛万苦玄奘终于找到孙悟空，段小姐又再次出现并交给玄奘一件重要的东西，猪妖终于被降服，但是更大的危机又出现在了玄奘面前，原...
2268359	暮光之城 Twilight	2008	凯瑟琳·哈德威克	梅莉莎·罗森伯格 / 斯蒂芬妮·梅耶	克里斯汀·斯图尔特 / 罗伯特·帕丁森 / 比利·伯克 / 阿什丽·格林尼 / 妮基·瑞德 / 泰勒·洛特纳 / 艾迪·盖瑟吉更多...	剧情 / 爱情 / 惊悚 / 奇幻	美国	英语	122	2009-11-25(中国大陆) / 2008-11-21(美国)	288821	7.3	因为父母离异，贝拉（克里斯汀•斯图尔特KristenStewart饰）随父亲来到小镇生活。在新学校里，贝拉留意到一群举止诡异的怪人，他们特立独行，很是神秘。在实验课上，她遇到了怪人中的一个——金发帅哥爱德华（罗伯特•帕丁森RobertPattinson饰），他俊朗的外形与出众的谈吐令她着迷。在交往中，贝拉渐渐对爱德华产生了感情，但其他怪人对她心存戒备。与此同时，小镇里接连发生死亡事件，贝拉的父亲是警察，负责调查此案。然而，警方的介入并没有阻止死亡威胁的蔓延。在一次意外中，爱德华救出了贝拉。从此，她发现他拥有异于常人的超能力，开始怀疑对方是杀人凶手。在事实面前，爱德华对她坦白，自己是素食吸血鬼，所以凶手另有其人。在杀人凶案的羁绊中，一场人鬼之恋由此展开……
1292402	西西里的美丽传说 Malèna	2000	朱塞佩·托纳多雷	朱塞佩·托纳多雷 / 卢恰诺·温琴佐尼	莫妮卡·贝鲁奇 / 朱塞佩·苏尔法罗 / Luciano Federico / Matilde Piana / 埃丽萨·莫鲁奇	剧情 / 情色 / 战争	意大利 / 美国	意大利语 / 英语 / 拉丁语 / 古希腊语	109	2000-10-27(意大利)	388667	8.7	当我还只是十三岁时，1941年春末的那一天，我初次见到了她那一天，墨索里尼向英法宣战，而我，得到了生命里的第一辆脚踏车。　　她，撩著波浪状黑亮的秀发，穿著最时髦的短裙和丝袜，踏著充满情欲诱惑的高跟鞋，来到了西西里岛上宁静的阳光小镇。她的一举一动都引人瞩目、勾人遐想，她的一颦一笑都教男人心醉、女人羡妒。玛莲娜，像个女神一般，征服了这个海滨的天堂乐园。　　年仅十三岁的雷纳多也不由自主地掉进了玛莲娜所掀起的漩涡之中，他不仅跟著其他年纪较大的青少年们一起骑著单车，穿梭在小镇的各个角落，搜寻著玛莲娜的诱人丰姿与万种风情，还悄悄地成为她不知情的小跟班，如影随形地跟监、窥视她的生活。她摇曳的倩影、她聆听的音乐、她贴身的衣物都成为这个被荷尔蒙淹没的少年，最真实、最美好的情欲幻想。　　然而，透过雷纳多的眼，我们也看到了玛莲娜掉进了越来越黑暗的处境之中，她变成了寡妇，而在镇民...
1849031	当幸福来敲门 The Pursuit of Happyness	2006	加布里埃莱·穆奇诺	斯蒂夫·康拉德	威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿 / 布莱恩·豪威  / 詹姆斯·凯伦 / 丹·卡斯泰兰尼塔 / 柯特·富勒 / 塔卡尤·费舍尔 / 凯文·韦斯特 / 乔治·张 / 戴维·迈克尔·西尔弗曼 / 多米尼克·博夫 / 杰弗·卡伦 / 乔伊芙·拉文 / 斯科特·克拉斯更多...	剧情 / 家庭 / 传记	美国	英语 / 粤语	117	2008-01-17(中国大陆) / 2006-12-15(美国)	611275	8.9	克里斯•加纳（威尔·史密斯WillSmith饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿ThandieNewton饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯JadenSmith饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里……他坚信，幸福明天就会来临。
1297192	致命ID Identity	2003	詹姆斯·曼高德	Michael Cooney	约翰·库萨克 / 雷·利奥塔 / 阿曼达·皮特 / 阿尔弗雷德·莫里纳 / 克里·杜瓦尔	剧情 / 悬疑 / 惊悚	美国	英语	90	2003-04-25(美国)	346608	8.6	一个典型而又引人入胜的悬疑故事：一个汽车旅馆里，住进了10个人，他们中间有司机、妓女、过气女星、夫妇、警探和他的犯人，还有神秘的旅馆经理。这天风雨大作，通讯中断，10人被困在了旅馆里，惊悚的故事开始了。　　他们一个接一个的死去，并且按照顺序留下牌号。10个人存活下来的渐渐变少，他们开始恐慌，互相猜忌，却无意间发现了彼此间的联系。但是，大家怀疑的嫌疑人却纷纷死去，谜团笼罩在旅馆狭小的空间里，这样的凶杀案件却有着人们猜不到的真相……
1851857	蝙蝠侠：黑暗骑士 The Dark Knight	2008	克里斯托弗·诺兰	乔纳森·诺兰 / 克里斯托弗·诺兰 / 大卫·S·高耶	克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 / 迈克尔·凯恩 / 玛吉·吉伦哈尔 / 加里·奥德曼 / 摩根·弗里曼 / 莫尼克·加布里埃拉·库尔内 / 罗恩·迪恩 / 基里安·墨菲 / 黄经汉 / 内斯特·卡博内尔 / 埃里克·罗伯茨 / 里特奇·科斯特 / 安东尼·迈克尔·豪尔 / 基斯·斯扎拉巴基克 / 柯林·麦克法兰 / 约书亚·哈尔托 / 美琳达·麦格劳 / 内森·甘宝 / 迈克尔·维约 / 迈克尔·斯托扬诺夫 / 威廉·斯米利 / 丹尼·高德林 / 迈克尔·加·怀特 / 马修·奥尼尔 / 威廉·菲德内尔 / 欧鲁米基·欧拉乌米 / 格雷格·比姆 / 爱利克·赫尔曼 / 毕崔斯·罗森 / 文森佐·尼克力 / 陈冠希更多...	剧情 / 动作 / 科幻 / 惊悚 / 犯罪	美国 / 英国	英语 / 汉语普通话	152	2008-07-14(纽约首映) / 2008-07-18(美国)	371317	9.1	从亲眼目睹父母被人杀死的阴影中走出来的“蝙蝠侠”，经历了成长之后，已经不再是那个桀骜不的孤单英雄了。在警官吉姆·戈登和检查官哈维·登特的通力帮助下，“蝙蝠侠”无后顾之忧地继续满世界的奔波，与日益增长起来的犯罪威胁做着永无休止的争斗，而他所在的高谭市，也是进展最为明显的地方，犯罪率以一种惊人的速度持续下降着，毕竟对方是能够上天入地的“蝙蝠侠”，不借两个胆子谁还敢造次呢？不过像高谭这种科技与污秽并存的城市，平静是不可能维持太久的，果不其然，新一轮的混乱很快就席卷了整个城市，人们再一被被恐慌所笼罩着，而声称愿意为这一切负责的，自然就是所有混乱的源头以及支配者--“小丑”了。　　先不管“小丑”掀起一个又一个犯罪的狂潮的最终目的为何，他的企图都是邪恶的，所作所为更是早就危害到了高谭市民的正常生活……其中自然包括了“蝙蝠侠”身边几个非常重要的人，而他需要做的，就是...
3804891	无人区	2013	宁浩	述平 / 邢爱娜 / 崔斯韦 / 王红卫 / 尚可 / 宁浩	徐峥 / 黄渤 / 余男 / 多布杰 / 王双宝 / 巴多 / 杨新鸣 / 郭虹 / 陶虹更多...	剧情 / 犯罪 / 西部	中国大陆	汉语普通话 / 陕西方言 / 甘肃方言	117	2013-12-03(中国大陆)	281422	8.1	小有名气但利欲熏心的律师潘肖（徐峥饰），凭借扎实的法律知识和巧舌如簧的庭辩技巧，成功帮盗捕国家珍禽阿拉泰隼并残忍杀害一名警察的西北盗猎团伙老大（多布杰饰）洗脱罪名。老大承诺十天后付清余款，潘肖则要求对方用一辆红色轿车抵押。在此之后，他驾驶着新车踏上从西北荒漠返回大都会的路程。谁知路上险情不断，先是和一对开卡车拉茅草的哥俩（王双宝&巴多饰）发生摩擦，导致人伤车损，接着又不慎撞飞一个似乎拦车求助的男子（黄渤饰）。自知摊上人命的潘肖辗转来到一家专事不法勾当的黑店，并在此结识了受困于此的妓女（余男饰）。与此同时，盗猎老大尾随其后，似乎另有凶险计划。　　此时潘肖还没真正意识到，他前方是怎样一条充满凶险的旅途……
3072124	玛丽和马克思 Mary and Max	2009	亚当·艾略特	亚当·艾略特	托妮·科莱特 / 菲利普·塞默·霍夫曼 / 巴瑞·哈姆弗莱斯 / 艾瑞克·巴纳 / 贝塔尼·维特莫尔 / 蕾妮·盖耶 / 伊恩·莫利·梅尔德伦 / 克里斯托弗·马西 / 卡罗琳·莎士比亚-艾伦 / 琳恩·史密斯更多...	剧情 / 动画	澳大利亚	英语 / 依地语	92	2009-01-15(圣丹斯电影节) / 2009-04-09(澳大利亚)	245653	8.9	1976年，8岁的玛丽·黛西·丁格尔（贝丝妮·惠特摩尔BethanyWhitmore配音）是澳大利亚墨尔本的一个小女孩，喜欢动画片“诺布利特”、甜炼乳和巧克力。玛丽的妈妈是个酒鬼，而在茶叶包装厂工作的父亲平日只喜欢制作鸟标本。孤独的玛丽没有朋友，某一天心血来潮给美国纽约市的马克思·杰瑞·霍罗威茨（菲利普·塞默·霍夫曼PhilipSeymourHoffman配音）写了一封信询问美国小孩从哪里来，并附上一根樱桃巧克力棒。44岁的马克思患有自闭症及肥胖，碰巧也喜欢看“诺布利特”动画片及吃巧克力。二人的笔友关系从1976年维持到1994年，期间各自经历了许多人生起伏，直到成年的玛丽（托妮·科莱特ToniCollette配音）终于来到纽约看望马克思……　　本片获2009年法国昂锡国际动画影展最佳动画长片奖，柏林国际电影节水晶熊奖及渥太华国际动...
27024903	天才枪手 ฉลาดเกมส์โกง	2017	纳塔吾·彭皮里亚	塔妮达·汉塔维瓦塔娜 / 瓦苏红·皮娅罗姆娜 / 纳塔吾·彭皮里亚	茱蒂蒙·琼查容苏因 / 查侬·散顶腾古 / 依莎亚·贺苏汪 / 披纳若·苏潘平佑 / 塔内·瓦拉库努娄 / 莎琳雷特·托马斯 / 伊戈·米基塔斯 / 帕辛·宽萨塔彭 / 萨哈贾克·波斯安吉特 / 坎嘉娜·维耐潘尼 / 育塔彭·瓦拉努科洛楚 / 诺帕瓦特·里基特王更多...	剧情 / 悬疑 / 犯罪	泰国	泰语 / 英语	130	2017-10-13(中国大陆) / 2017-05-03(泰国)	324607	8.2	影片根据2014年轰动一时的亚洲考场作弊案改编，讲述了天才学霸利用高智商考场作弊牟取暴利的故事。出生平凡的天才少女Lynn（茱蒂蒙·琼查容苏因饰）在进入贵族学校后，结识了富二代同学Grace（依莎亚·贺苏汪饰）与Pat（披纳若·苏潘平佑饰），从此开始了考场作弊生涯，与此同时，另一名记忆力极佳的天才学霸Bank（查侬·散顶腾古饰）发现了Lynn不为人知的“交易”。经过多场险象环生的“作弊战争”后，Lynn接下最后一单在国际考场上为富家子弟作弊的天价委托。一场横跨两大洲的完美作弊方案横空出世，然而一切并不像他们想的那么简单……
